DRUH,ID_IND,TYP_IND,LIM_IND,JEDNOTKA,KLIC,UROVEN
Rosalia alpina,STA_SKLADREVO,val,ne,NA,ne,lok
Rosalia alpina,STA_VHSTROMK,val,ano,NA,ne,lok
Rosalia alpina,VLV_VLIVY,NA,NA,NA,ne,lok
Cerambyx cerdo,POP_PRESENCE,val,ano,NA,ano,lok
Cerambyx cerdo,STA_VHSTROMN,val,ano,NA,ne,lok
Cerambyx cerdo,STA_VHSTROMK,val,ano,NA,ne,lok
Cerambyx cerdo,VLV_VLIVY,NA,NA,NA,ne,lok
Leucorrhinia pectoralis,POP_PRESENCE,val,ano,NA,ano,lok
Leucorrhinia pectoralis,STA_POKRYVNOSTDREVIN,min,5,%,ne,lok
Leucorrhinia pectoralis,STA_ZAZEMNENI,max,60,%,ne,lok
Leucorrhinia pectoralis,VLV_VLIVY,NA,NA,NA,ne,lok
Ophiogomphus cecilia,POP_PRESENCE,val,ano,NA,ano,lok
Ophiogomphus cecilia,STA_POKRYVNOSTDREVIN,max,50,%,ne,lok
Ophiogomphus cecilia,STA_ZAZEMNENI,val,ménì než 10 %,NA,ne,lok
Osmoderma barnabita,POP_PRESENCE,val,ano,NA,ano,lok
Osmoderma barnabita,STA_VHSTROMN,val,ano,NA,ne,lok
Osmoderma barnabita,STA_VHSTROMK,val,ano,NA,ne,lok
Osmoderma barnabita,VLV_VLIVY,NA,NA,NA,ne,lok
Limoniscus violaceus,POP_PRESENCE,val,ano,NA,ano,lok
Limoniscus violaceus,STA_VHSTROMN,val,ano,NA,ne,lok
Limoniscus violaceus,STA_VHSTROMK,val,ano,NA,ne,lok
Limoniscus violaceus,VLV_VLIVY,NA,NA,NA,ne,lok
Limoniscus violaceus,POP_PRESENCE,val,ano,pøítomnost druhu,ano,chu
Phengaris nausithous,POP_PRESENCE,val,ano,pøítomnost druhu,ano,chu
Phengaris teleius,POP_PRESENCE,val,ano,pøítomnost druhu,ano,chu
Lycaena dispar,POP_PRESENCE,val,ano,pøítomnost druhu,ano,chu
Euphydryas aurinia,POP_PRESENCE,val,ano,pøítomnost druhu,ano,chu
Euphydryas maturna,POP_PRESENCE,val,ano,pøítomnost druhu,ano,chu
Euplagia quadripunctaria,POP_PRESENCE,val,ano,pøítomnost druhu,ano,chu
Eriogaster catax,POP_PRESENCE,val,ano,pøítomnost druhu,ano,chu
Cucujus cinnaberinus,POP_PRESENCE,val,ano,pøítomnost druhu,ano,chu
Lucanus cervus,POP_PRESENCE,val,ano,pøítomnost druhu,ano,chu
Cerambyx cerdo,POP_PRESENCE,val,ano,pøítomnost druhu,ano,chu
Osmoderma barnabita,POP_PRESENCE,val,ano,pøítomnost druhu,ano,chu
Rosalia alpina,POP_PRESENCE,val,ano,pøítomnost druhu,ano,chu
Rhysodes sulcatus,POP_PRESENCE,val,ano,pøítomnost druhu,ano,chu
Leucorrhinia pectoralis,POP_PRESENCE,val,ano,pøítomnost druhu,ano,chu
Ophiogomphus cecilia,POP_PRESENCE,val,ano,pøítomnost druhu,ano,chu
Bolbelamus unicornis,POP_PRESENCE,val,ano,pøítomnost druhu,ano,chu
Bolbelamus unicornis,VLV_VLIVY,NA,NA,NA,ne,lok
Bolbelamus unicornis,POP_PRESENCE,val,ano,pøítomnost druhu,ano,lok
Bolbelamus unicornis,POP_PROCPOLE1D,min,50,procento mapovacích polí 1. øádu v dobré stavu,ano,chu
Bolbelamus unicornis,POP_POCETPOLE0,NA,NA,poèet sledovaných mapovacích polí 1. øádu,NA,chu
Bolbelamus unicornis,STA_HABPOKRYV,min,10,procento pokryvnosti preferovaných biotopù,ano,chu
Carabus menetriesi pacholei,POP_PRESENCE,val,ano,pøítomnost druhu,ano,lok
Carabus menetriesi pacholei,VLV_VLIVY,NA,NA,NA,ne,lok
Carabus menetriesi pacholei,POP_PRESENCE,val,ano,pøítomnost druhu,ano,chu
Carabus menetriesi pacholei,POP_PROCPOLE1D,min,50,procento mapovacích polí 1. øádu v dobré stavu,ano,chu
Carabus menetriesi pacholei,POP_POCETPOLE0,NA,NA,poèet sledovaných mapovacích polí 1. øádu,NA,chu
Carabus menetriesi pacholei,STA_HABPOKRYV,min,10,procento pokryvnosti preferovaných biotopù,ano,chu
Carabus variolosus,POP_PRESENCE,val,ano,pøítomnost druhu,ano,chu
Carabus variolosus,POP_PRESENCE,val,ano,pøítomnost druhu,ano,lok
Carabus variolosus,STA_MRTDREVO,val,jednotlivé kmeny,stupnice relativní škály,ano,lok
Carabus variolosus,STA_MRTDREVO,val,hojnì,stupnice relativní škály,ano,lok
Carabus variolosus,STA_TEKVODA,val,ano,ano/ne,ano,lok
Carabus variolosus,POP_PROCPOLE1D,min,50,procento mapovacích polí 1. øádu v dobré stavu,ano,chu
Carabus variolosus,POP_POCETPOLE0,NA,NA,poèet sledovaných mapovacích polí 1. øádu,NA,chu
Carabus variolosus,STA_HABPOKRYV,min,10,procento pokryvnosti preferovaných biotopù,ano,chu
Graphoderus bilineatus,POP_PRESENCE,val,ano,pøítomnost druhu,ano,chu
Graphoderus bilineatus,POP_PRESENCE,val,ano,pøítomnost druhu,ano,lok
Graphoderus bilineatus,STA_LITVEGET,min,70,procento pokryvnosti litorální vegetace,ano,lok
Graphoderus bilineatus,STA_SIRKALIT,min,3,metry,ano,lok
Graphoderus bilineatus,STA_ZASTIN,val,ano,stupnice relativní škály,ano,lok
Graphoderus bilineatus,POP_PROCPOLE1D,min,50,procento mapovacích polí 1. øádu v dobré stavu,ano,chu
Graphoderus bilineatus,POP_POCETPOLE0,NA,NA,poèet sledovaných mapovacích polí 1. øádu,NA,chu
Graphoderus bilineatus,STA_HABPOKRYV,min,10,procento pokryvnosti preferovaných biotopù,ano,chu
Limoniscus violaceus,STA_HABPOKRYV,min,10,procento pokryvnosti preferovaných biotopù,ano,chu
Phengaris nausithous,STA_HABPOKRYV,min,10,procento pokryvnosti preferovaných biotopù,ano,chu
Phengaris teleius,STA_HABPOKRYV,min,10,procento pokryvnosti preferovaných biotopù,ano,chu
Lycaena dispar,STA_HABPOKRYV,min,10,procento pokryvnosti preferovaných biotopù,ano,chu
Euphydryas aurinia,STA_HABPOKRYV,min,10,procento pokryvnosti preferovaných biotopù,ano,chu
Euphydryas maturna,STA_HABPOKRYV,min,10,procento pokryvnosti preferovaných biotopù,ano,chu
Euplagia quadripunctaria,STA_HABPOKRYV,min,10,procento pokryvnosti preferovaných biotopù,ano,chu
Eriogaster catax,STA_HABPOKRYV,min,10,procento pokryvnosti preferovaných biotopù,ano,chu
Cucujus cinnaberinus,STA_HABPOKRYV,min,10,procento pokryvnosti preferovaných biotopù,NA,chu
Lucanus cervus,STA_HABPOKRYV,min,10,procento pokryvnosti preferovaných biotopù,NA,chu
Cerambyx cerdo,STA_HABPOKRYV,min,10,procento pokryvnosti preferovaných biotopù,NA,chu
Osmoderma barnabita,STA_HABPOKRYV,min,10,procento pokryvnosti preferovaných biotopù,NA,chu
Rosalia alpina,STA_HABPOKRYV,min,10,procento pokryvnosti preferovaných biotopù,ano,chu
Rhysodes sulcatus,STA_HABPOKRYV,min,10,procento pokryvnosti preferovaných biotopù,ano,chu
Leucorrhinia pectoralis,STA_HABPOKRYV,min,10,procento pokryvnosti preferovaných biotopù,ano,chu
Ophiogomphus cecilia,STA_HABPOKRYV,min,10,procento pokryvnosti preferovaných biotopù,ano,chu
Limoniscus violaceus,POP_PROCPOLE1D,min,50,procento mapovacích polí 1. øádu v dobré stavu,ano,chu
Phengaris nausithous,POP_PROCPOLE1D,min,50,procento mapovacích polí 1. øádu v dobré stavu,ano,chu
Phengaris teleius,POP_PROCPOLE1D,min,50,procento mapovacích polí 1. øádu v dobré stavu,ano,chu
Lycaena dispar,POP_PROCPOLE1D,min,50,procento mapovacích polí 1. øádu v dobré stavu,ano,chu
Euphydryas aurinia,POP_PROCPOLE1D,min,50,procento mapovacích polí 1. øádu v dobré stavu,ano,chu
Euphydryas maturna,POP_PROCPOLE1D,min,50,procento mapovacích polí 1. øádu v dobré stavu,ano,chu
Euplagia quadripunctaria,POP_PROCPOLE1D,min,50,procento mapovacích polí 1. øádu v dobré stavu,ano,chu
Eriogaster catax,POP_PROCPOLE1D,min,50,procento mapovacích polí 1. øádu v dobré stavu,ano,chu
Cucujus cinnaberinus,POP_PROCPOLE1D,min,50,procento mapovacích polí 1. øádu v dobré stavu,ano,chu
Lucanus cervus,POP_PROCPOLE1D,min,50,procento mapovacích polí 1. øádu v dobré stavu,ano,chu
Cerambyx cerdo,POP_PROCPOLE1D,min,50,procento mapovacích polí 1. øádu v dobré stavu,ano,chu
Osmoderma barnabita,POP_PROCPOLE1D,min,50,procento mapovacích polí 1. øádu v dobré stavu,ano,chu
Rosalia alpina,POP_PROCPOLE1D,min,50,procento mapovacích polí 1. øádu v dobré stavu,ano,chu
Rhysodes sulcatus,POP_PROCPOLE1D,min,50,procento mapovacích polí 1. øádu v dobré stavu,ano,chu
Leucorrhinia pectoralis,POP_PROCPOLE1D,min,50,procento mapovacích polí 1. øádu v dobré stavu,ano,chu
Ophiogomphus cecilia,POP_PROCPOLE1D,min,50,procento mapovacích polí 1. øádu v dobré stavu,ano,chu
Limoniscus violaceus,POP_POCETPOLE0,NA,NA,poèet sledovaných mapovacích polí 1. øádu,NA,chu
Phengaris nausithous,POP_POCETPOLE1,NA,NA,poèet sledovaných mapovacích polí 1. øádu,NA,chu
Phengaris teleius,POP_POCETPOLE1,NA,NA,poèet sledovaných mapovacích polí 1. øádu,NA,chu
Lycaena dispar,POP_POCETPOLE1,NA,NA,poèet sledovaných mapovacích polí 1. øádu,NA,chu
Euphydryas aurinia,POP_POCETPOLE1,NA,NA,poèet sledovaných mapovacích polí 1. øádu,NA,chu
Euphydryas maturna,POP_POCETPOLE1,NA,NA,poèet sledovaných mapovacích polí 1. øádu,NA,chu
Euplagia quadripunctaria,POP_POCETPOLE1,NA,NA,poèet sledovaných mapovacích polí 1. øádu,NA,chu
Eriogaster catax,POP_POCETPOLE1,NA,NA,poèet sledovaných mapovacích polí 1. øádu,NA,chu
Cucujus cinnaberinus,POP_POCETPOLE1,NA,NA,poèet sledovaných mapovacích polí 1. øádu,NA,chu
Lucanus cervus,POP_POCETPOLE1,NA,NA,poèet sledovaných mapovacích polí 1. øádu,NA,chu
Cerambyx cerdo,POP_POCETPOLE1,NA,NA,poèet sledovaných mapovacích polí 1. øádu,NA,chu
Osmoderma barnabita,POP_POCETPOLE1,NA,NA,poèet sledovaných mapovacích polí 1. øádu,NA,chu
Rosalia alpina,POP_POCETPOLE1,NA,NA,poèet sledovaných mapovacích polí 1. øádu,NA,chu
Rhysodes sulcatus,POP_POCETPOLE1,NA,NA,poèet sledovaných mapovacích polí 1. øádu,NA,chu
Leucorrhinia pectoralis,POP_POCETPOLE1,NA,NA,poèet sledovaných mapovacích polí 1. øádu,NA,chu
Ophiogomphus cecilia,POP_POCETPOLE1,NA,NA,poèet sledovaných mapovacích polí 1. øádu,NA,chu
Bombina bombina,POP_POCET,NA,NA,samci,NA,lok
Bombina bombina,POP_POCET,NA,NA,jedinci,NA,lok
Bombina bombina,POP_POCET,NA,NA,adulti,NA,lok
Bombina variegata,POP_POCET,NA,NA,samci,NA,lok
Bombina variegata,POP_POCET,NA,NA,jedinci,NA,lok
Bombina variegata,POP_POCET,NA,NA,adulti,NA,lok
Epidea calamita,POP_POCET,NA,NA,samci,NA,lok
Epidea calamita,POP_POCET,NA,NA,jedinci,NA,lok
Epidea calamita,POP_POCET,NA,NA,adulti,NA,lok
Triturus cristatus,POP_POCET,NA,NA,adulti,NA,lok
Triturus cristatus,POP_POCET,NA,NA,jedinci,NA,lok
Triturus cristatus,POP_POCETSUM,NA,NA,samci,NA,lok
Triturus cristatus,POP_POCETSUM,NA,NA,samice,NA,lok
Triturus carnifex,POP_POCET,NA,NA,adulti,NA,lok
Triturus carnifex,POP_POCET,NA,NA,jedinci,NA,lok
Triturus carnifex,POP_POCETSUM,NA,NA,samci,NA,lok
Triturus carnifex,POP_POCETSUM,NA,NA,samice,NA,lok
Triturus dobrogicus,POP_POCET,NA,NA,adulti,NA,lok
Triturus dobrogicus,POP_POCET,NA,NA,jedinci,NA,lok
Triturus dobrogicus,POP_POCETSUM,NA,NA,samci,NA,lok
Triturus dobrogicus,POP_POCETSUM,NA,NA,samice,NA,lok
Lissotriton montandoni,POP_POCET,NA,NA,adulti,NA,lok
Lissotriton montandoni,POP_POCET,NA,NA,jedinci,NA,lok
Lissotriton montandoni,POP_POCETSUM,NA,NA,samci,NA,lok
Lissotriton montandoni,POP_POCETSUM,NA,NA,samice,NA,lok
Bombina bombina,POP_PRESENCE,val,ano,NA,ano,lok
Bombina bombina,POP_ZMENA_RAD,max,-1,NA,ano,lok
Bombina variegata,POP_ZMENA_RAD,max,-1,NA,ano,lok
Epidea calamita,POP_ZMENA_RAD,max,-1,NA,ano,lok
Lissotriton montandoni,POP_ZMENA_RAD,max,-1,NA,ano,lok
Triturus cristatus,POP_ZMENA_RAD,max,-1,NA,ano,lok
Triturus carnifex,POP_ZMENA_RAD,max,-1,NA,ano,lok
Triturus dobrogicus,POP_ZMENA_RAD,max,-1,NA,ano,lok
Bombina bombina,POP_POCETMIN,NA,NA,NA,ne,lok
Bombina bombina,POP_POCETMAX,NA,NA,NA,ne,lok
Bombina variegata,POP_POCETMIN,NA,NA,NA,ne,lok
Bombina variegata,POP_POCETMAX,NA,NA,NA,ne,lok
Epidea calamita,POP_POCETMIN,NA,NA,NA,ne,lok
Epidea calamita,POP_POCETMAX,NA,NA,NA,ne,lok
Lissotriton montandoni,POP_POCETMIN,NA,NA,NA,ne,lok
Lissotriton montandoni,POP_POCETMAX,NA,NA,NA,ne,lok
Triturus cristatus,POP_POCETMIN,NA,NA,NA,ne,lok
Triturus cristatus,POP_POCETMAX,NA,NA,NA,ne,lok
Triturus carnifex,POP_POCETMIN,NA,NA,NA,ne,lok
Triturus carnifex,POP_POCETMAX,NA,NA,NA,ne,lok
Triturus dobrogicus,POP_POCETMIN,NA,NA,NA,ne,lok
Triturus dobrogicus,POP_POCETMAX,NA,NA,NA,ne,lok
Bombina bombina,POP_REPRO,val,NA,larvy,ano,lok
Bombina bombina,POP_REPRO,val,NA,juvenilové,ano,lok
Bombina bombina,POP_REPRO,val,NA,snùšky,ano,lok
Bombina bombina,POP_REPRO,val,NA,metamorf. ex,ano,lok
Bombina variegata,POP_REPRO,val,NA,larvy,ano,lok
Bombina variegata,POP_REPRO,val,NA,juvenilové,ano,lok
Bombina variegata,POP_REPRO,val,NA,snùšky,ano,lok
Bombina variegata,POP_REPRO,val,NA,metamorf. ex,ano,lok
Epidalea calamita,POP_REPRO,val,NA,larvy,ano,lok
Epidalea calamita,POP_REPRO,val,NA,juvenilové,ano,lok
Epidalea calamita,POP_REPRO,val,NA,snùšky,ano,lok
Epidalea calamita,POP_REPRO,val,NA,snùšky m2,ano,lok
Epidalea calamita,POP_REPRO,val,NA,snùšky m3,ano,lok
Epidalea calamita,POP_REPRO,val,NA,snùšky dm2,ano,lok
Epidalea calamita,POP_REPRO,val,NA,snùšky cm2,ano,lok
Epidalea calamita,POP_REPRO,val,NA,amplexus,ano,lok
Epidalea calamita,POP_REPRO,val,NA,metamorf. ex,ano,lok
Lissotriton montandoni,POP_REPRO,val,NA,larvy,ano,lok
Lissotriton montandoni,POP_REPRO,val,NA,juvenilové,ano,lok
Lissotriton montandoni,POP_REPRO,val,NA,snùšky,ano,lok
Lissotriton montandoni,POP_REPRO,val,NA,snùšky m2,ano,lok
Lissotriton montandoni,POP_REPRO,val,NA,snùšky m3,ano,lok
Lissotriton montandoni,POP_REPRO,val,NA,snùšky dm2,ano,lok
Lissotriton montandoni,POP_REPRO,val,NA,snùšky cm2,ano,lok
Lissotriton montandoni,POP_REPRO,val,NA,amplexus,ano,lok
Lissotriton montandoni,POP_REPRO,val,NA,metamorf. ex,ano,lok
Triturus cristatus,POP_REPRO,val,NA,larvy,ano,lok
Triturus cristatus,POP_REPRO,val,NA,juvenilové,ano,lok
Triturus cristatus,POP_REPRO,val,NA,snùšky,ano,lok
Triturus cristatus,POP_REPRO,val,NA,snùšky m2,ano,lok
Triturus cristatus,POP_REPRO,val,NA,snùšky m3,ano,lok
Triturus cristatus,POP_REPRO,val,NA,snùšky dm2,ano,lok
Triturus cristatus,POP_REPRO,val,NA,snùšky cm2,ano,lok
Triturus cristatus,POP_REPRO,val,NA,amplexus,ano,lok
Triturus cristatus,POP_REPRO,val,NA,metamorf. ex,ano,lok
Triturus carnifex,POP_REPRO,val,NA,larvy,ano,lok
Triturus carnifex,POP_REPRO,val,NA,juvenilové,ano,lok
Triturus carnifex,POP_REPRO,val,NA,snùšky,ano,lok
Triturus carnifex,POP_REPRO,val,NA,snùšky m2,ano,lok
Triturus carnifex,POP_REPRO,val,NA,snùšky m3,ano,lok
Triturus carnifex,POP_REPRO,val,NA,snùšky dm2,ano,lok
Triturus carnifex,POP_REPRO,val,NA,snùšky cm2,ano,lok
Triturus carnifex,POP_REPRO,val,NA,amplexus,ano,lok
Triturus carnifex,POP_REPRO,val,NA,metamorf. ex,ano,lok
Triturus dobrogicus,POP_REPRO,val,NA,larvy,ano,lok
Triturus dobrogicus,POP_REPRO,val,NA,juvenilové,ano,lok
Triturus dobrogicus,POP_REPRO,val,NA,snùšky,ano,lok
Triturus dobrogicus,POP_REPRO,val,NA,snùšky m2,ano,lok
Triturus dobrogicus,POP_REPRO,val,NA,snùšky m3,ano,lok
Triturus dobrogicus,POP_REPRO,val,NA,snùšky dm2,ano,lok
Triturus dobrogicus,POP_REPRO,val,NA,snùšky cm2,ano,lok
Triturus dobrogicus,POP_REPRO,val,NA,amplexus,ano,lok
Triturus dobrogicus,POP_REPRO,val,NA,metamorf. ex,ano,lok
Bombina bombina,STA_ZTRATABIO,val,ne,zaznamenána ztráta vodních biotopù,ne,lok
Bombina variegata,STA_ZTRATABIO,val,ne,zaznamenána ztráta vodních biotopù,ne,lok
Epidea calamita,STA_ZTRATABIO,val,ne,zaznamenána ztráta vodních biotopù,ne,lok
Lissotriton montandoni,STA_ZTRATABIO,val,ne,zaznamenána ztráta vodních biotopù,ne,lok
Triturus cristatus,STA_ZTRATABIO,val,ne,zaznamenána ztráta vodních biotopù,ne,lok
Triturus carnifex,STA_ZTRATABIO,val,ne,zaznamenána ztráta vodních biotopù,ne,lok
Triturus dobrogicus,STA_ZTRATABIO,val,ne,zaznamenána ztráta vodních biotopù,ne,lok
Bombina bombina,STA_RYBY,val,ne,zaznamenán nadmìrný tlak ryb,ne,lok
Bombina variegata,STA_RYBY,val,ne,zaznamenán nadmìrný tlak ryb,ne,lok
Epidea calamita,STA_RYBY,val,ne,zaznamenán nadmìrný tlak ryb,ne,lok
Lissotriton montandoni,STA_RYBY,val,ne,zaznamenán nadmìrný tlak ryb,ne,lok
Triturus cristatus,STA_RYBY,val,ne,zaznamenán nadmìrný tlak ryb,ne,lok
Triturus carnifex,STA_RYBY,val,ne,zaznamenán nadmìrný tlak ryb,ne,lok
Triturus dobrogicus,STA_RYBY,val,ne,zaznamenán nadmìrný tlak ryb,ne,lok
Bombina bombina,STA_MANIPULACE,val,ne,NA,ne,lok
Lissotriton montandoni,STA_MANIPULACE,val,ne,NA,ne,lok
Triturus cristatus,STA_MANIPULACE,val,ne,NA,ne,lok
Triturus carnifex,STA_MANIPULACE,val,ne,NA,ne,lok
Triturus dobrogicus,STA_MANIPULACE,val,ne,NA,ne,lok
Bombina bombina,STA_VYSYCHANI,val,26-50 %,NA,ne,lok
Bombina bombina,STA_VYSYCHANI,val,51-75 %,NA,ne,lok
Bombina bombina,STA_VYSYCHANI,val,76-100 %,NA,ne,lok
Bombina bombina,STA_VYSYCHANI,min,25,NA,ne,lok
Bombina variegata,STA_VYSYCHANI,val,26-50 %,NA,ne,lok
Bombina variegata,STA_VYSYCHANI,val,51-75 %,NA,ne,lok
Bombina variegata,STA_VYSYCHANI,val,76-100 %,NA,ne,lok
Bombina variegata,STA_VYSYCHANI,min,25,NA,ne,lok
Epidea calamita,STA_VYSYCHANI,val,26-50 %,NA,ne,lok
Epidea calamita,STA_VYSYCHANI,val,51-75 %,NA,ne,lok
Epidea calamita,STA_VYSYCHANI,val,76-100 %,NA,ne,lok
Epidea calamita,STA_VYSYCHANI,min,25,NA,ne,lok
Lissotriton montandoni,STA_VYSYCHANI,val,26-50 %,NA,ne,lok
Lissotriton montandoni,STA_VYSYCHANI,val,51-75 %,NA,ne,lok
Lissotriton montandoni,STA_VYSYCHANI,val,76-100 %,NA,ne,lok
Lissotriton montandoni,STA_VYSYCHANI,min,25,NA,ne,lok
Triturus cristatus,STA_VYSYCHANI,val,26-50 %,NA,ne,lok
Triturus cristatus,STA_VYSYCHANI,val,51-75 %,NA,ne,lok
Triturus cristatus,STA_VYSYCHANI,val,76-100 %,NA,ne,lok
Triturus cristatus,STA_VYSYCHANI,min,25,NA,ne,lok
Triturus carnifex,STA_VYSYCHANI,val,26-50 %,NA,ne,lok
Triturus carnifex,STA_VYSYCHANI,val,51-75 %,NA,ne,lok
Triturus carnifex,STA_VYSYCHANI,val,76-100 %,NA,ne,lok
Triturus carnifex,STA_VYSYCHANI,min,25,NA,ne,lok
Triturus dobrogicus,STA_VYSYCHANI,val,26-50 %,NA,ne,lok
Triturus dobrogicus,STA_VYSYCHANI,val,51-75 %,NA,ne,lok
Triturus dobrogicus,STA_VYSYCHANI,val,76-100 %,NA,ne,lok
Triturus dobrogicus,STA_VYSYCHANI,min,25,NA,ne,lok
Bombina bombina,STA_VYSYCHANIPERIOD3,max,2,NA,ne,lok
Bombina variegata,STA_VYSYCHANIPERIOD3,max,2,NA,ne,lok
Epidea calamita,STA_VYSYCHANIPERIOD3,max,2,NA,ne,lok
Lissotriton montandoni,STA_VYSYCHANIPERIOD3,max,2,NA,ne,lok
Triturus cristatus,STA_VYSYCHANIPERIOD3,max,2,NA,ne,lok
Triturus carnifex,STA_VYSYCHANIPERIOD3,max,2,NA,ne,lok
Triturus dobrogicus,STA_VYSYCHANIPERIOD3,max,2,NA,ne,lok
Bombina variegata,STA_POKRVEGETACE,val,0,NA,ne,lok
Bombina variegata,STA_POKRVEGETACE,val,0-25 %,NA,ne,lok
Bombina variegata,STA_POKRVEGETACE,val,1-10 %,NA,ne,lok
Bombina variegata,STA_POKRVEGETACE,val,11-25 %,NA,ne,lok
Bombina variegata,STA_POKRVEGETACE,val,26-50 %,NA,ne,lok
Bombina variegata,STA_POKRVEGETACE,val,1-25 %,NA,ne,lok
Bombina variegata,STA_POKRVEGETACE,max,50,NA,ne,lok
Epidea calamita,STA_POKRVEGETACE,val,0,NA,ne,lok
Epidea calamita,STA_POKRVEGETACE,val,0-25 %,NA,ne,lok
Epidea calamita,STA_POKRVEGETACE,val,1-10 %,NA,ne,lok
